Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
   256500   2667s |  56   117776   117668 |  58   110239   107328
   257000   2672s |  34   117829   117668 |  47   121103   117153
   257500   2678s |  25   117816   117668 |  65   103991    79159
   258000   2684s |  49   117801   117668 |  52   121818   118187
   258500   2689s |  56   117860   117668 |  53   116456   114816
   259000   2694s |  35   117791   117668 |  41   121240   118200
   259500   2701s |  54   117764   117668 |  30   134056   118658
   260000   2706s |  35   117747   117668 |  57   121308   118125
   260500   2712s |  25   117795   117668 |  34   125180   118244
   261000   2717s |  29   117803   117668 |  38   119116   117573
   261500   2723s |  34   117779   117644 |  41   115670   114377
   262000   2734s |  48   117847   117644 |  51   138815   119003
   262500   2739s |  25   117700   117644 |  41   123291   117870
   263000   2746s |  35   117668   117644 |  39   122547   118104
   263500   2750s |  58   117767   117644 |  65   122342   119330
   264000   2756s |  58   117726   117644 |  32   118739   118117
   264500   2761s |  58   117806   117644 |  40   121556   118402
   265000   2767s |  26   117779   117644 |  39   121549   118267
   265500   2772s |  32   117751   117644 |  41   119841   118336
   266000   2781s |  30   117804   117644 |  65   124923   118392
   266500   2786s |  29   117816   117644 |  33   125586   118265
   267000   2791s |  37   117710   117644 |  33   120337   117994
   267500   2796s |  50   117795   117644 |  28   121499   118334
   268000   2800s |  49   117811   117639 |  37   121151   118144
R                 |        restart        |        restart
   268500   2807s |  43   123281   117898 |  61   117017   116244
   269000   2812s |  46   118100   117767 |  25   117432   117124
   269500   2816s |  44   117924   117709 |  35   119670   119431
   270000   2821s |  50   117878   117709 |  37   118447   117988
   270500   2825s |  44   117788   117690 |  51   119044   118817
   271000   2830s |  63   117777   117690 |  40   120020   118499
   271500   2836s |  35   117717   117627 |  35   121713   117939
   272000   2841s |  41   117690   117627 |  37   119890   117888
   272500   2847s |  26   117711   117627 |  60   122413   118648
   273000   2853s |  58   117692   117627 |  36   124718   118035
   273500   2860s |  62   117794   117627 |  42   119832   118314
   274000   2865s |  38   117731   117627 |  33   120392   118180
   274500   2873s |  45   117703   117627 |  34   123403   118164
   275000   2880s |  28   117738   117627 |  59   118953   116756
   275500   2886s |  54   117791   117627 |  41   120328   118292
   276000   2890s |  34   117840   117627 |  28   118370   118224
   276500   2895s |  26   117783   117627 |  44   120750   118041
   277000   2900s |  29   117776   117627 |  49   118762   118375
   277500   2904s |  37   117740   117627 |  49   118262   118002
   278000   2909s |  37   117807   117627 |  57   107274   104705
   278500   2915s |  42   117757   117627 |  60   122162   118243
   279000   2921s |  47   117858   117622 |  63   117778   117157
   279500   2927s |  49   117816   117622 |  28   120713   118274
   280000   2932s |  35   117659   117613 |  50   114216   113039
   280500   2942s |  51   117639   117613 |  63   104827   101991
   281000   2949s |  56   117680   117613 |  25   125025   118119
   281500   2955s |  44   117707   117613 |  45   124743   118185
   282000   2963s |  33   117686   117613 |  64   122050   116976
   282500   2968s |  61   117721   117613 |  44   121550   118202
   283000   2975s |  63   117779   117613 |  50   124140   118091
   283500   2982s |  38   117694   117613 |  42   104637   100857
   284000   2988s |  63   117756   117613 |  25   123914   118013
   284500   2992s |  46   117791   117613 |  50   112931   105980
   285000   2997s |  36   117741   117613 |  27   118150   117845
   285500   3001s |  31   117814   117613 |  40   118716   118255
   286000   3006s |  34   117822   117613 |  45   115036   111570
   286500   3012s |  27   117787   117613 |  60   111029    99794
   287000   3017s |  41   117753   117613 |  54   119331   118221
   287500   3022s |  56   117751   117613 |  47   120387   118130
   288000   3027s |  54   117871   117613 |  57   113913   106452
R                 |        restart        |        restart
   288500   3032s |  64   121551   117924 |  41   119199   118539
   289000   3037s |  25   126677   117735 |  47   119119   117952
   289500   3042s |  53   122038   117735 |  27   118846   118356
   290000   3046s |  51   122175   117707 |  37   119124   118811
   290500   3051s |  65   117819   117707 |  31   119149   118872
   291000   3057s |  28   117797   117707 |  35   125289   117928
   291500   3063s |  38   117725   117707 |  33    98390    88618
   292000   3069s |  43   117843   117700 |  36   121378   117914
   292500   3075s |  55   117788   117694 |  32   112793   109817
   293000   3083s |  31   117757   117694 |  65   100789    97286
   293500   3089s |  25   117742   117685 |  38    97007    83731
   294000   3095s |  56   117721   117685 |  56   119794   118028
   294500   3100s |  42   117833   117685 |  37   117263   115946
   295000   3105s |  59   117747   117685 |  28   121407   117894
   295500   3109s |  29   117797   117685 |  25   118381   118171
   296000   3113s |  36   117760   117680 |  26   119135   118683
   296500   3118s |  58   117770   117680 |  53   114374   111740
   297000   3126s |  45   117750   117680 |  33   121346   118201
   297500   3130s |  62   117822   117680 |  65   118764   118390
   298000   3135s |  41   117862   117680 |  53   121095   118012
   298500   3140s |  33   117814   117672 |  28   119614   118566
   299000   3144s |  55   117788   117654 |  55   119473   118667
   299500   3149s |  25   117740   117654 |  52   121028   118218
   300000   3156s |  61   117732   117654 |  65   116258   112117
   300500   3160s |  33   117693   117654 |  60   118429   117652
   301000   3168s |  46   117954   117654 |  32   103249   101875
   301500   3173s |  26   117696   117654 |  60   123678   118060
   302000   3178s |  60   117738   117654 |  34   121320   118099
   302500   3183s |  30   117772   117654 |  31   121116   117844
   303000   3187s |  41   117740   117641 |  28   118070   117832
   303500   3194s |  47   117726   117641 |  30   125025   118212
   304000   3202s |  39   117713   117638 |  47   101472    99061
   304500   3208s |  48   117676   117638 |  46   122731   117974
   305000   3219s |  57   117925   117638 |  25   130743   118020
   305500   3227s |  37   117726   117638 |  53   125909   118396
   306000   3233s |  54   117762   117638 |  44   120856   118133
   306500   3237s |  40   117725   117638 |  25   118714   118192
   307000   3243s |  62   117788   117638 |  52   124394   118749
   307500   3249s |  49   117704   117638 |  32   124377   118120
   308000   3254s |  26   117751   117638 |  63   122745   117660
R                 |        restart        |        restart
   308500   3259s |  25   118055   117810 |  40   121118   119121
   309000   3264s |  52   117966   117692 |  62   121690   118198
   309500   3269s |  46   117894   117692 |  35   120358   118108
   310000   3274s |  54   117786   117685 |  35   122010   117998
   310500   3281s |  26   117718   117685 |  30   124161   118138
   311000   3286s |  41   117728   117685 |  64   124930   118067
   311500   3291s |  59   117824   117685 |  54   121692   117772
   312000   3295s |  33   117755   117685 |  47   119182   118107
   312500   3301s |  51   117751   117685 |  37   125643   118684
   313000   3307s |  30   117740   117685 |  25   129304   118433
   313500   3313s |  53   117796   117625 |  51   121004   118797
   314000   3318s |  28   117752   117613 |  43   120573   118395
   314500   3323s |  25   117711   117613 |  54   122539   118017
H  315000   3327s |  48   117793   117596 |  39   116818   106220
H  315500   3332s |  27   117695   117595 |  27   123871   118119
   316000   3336s |  31   117642   117595 |  31   113383    94623
   316500   3343s |  39   117676   117595 |  31   122613   118329
   317000   3349s |  61   117666   117595 |  58   103898    99632
   317500   3355s |  27   117739   117595 |  59   122546   117702
   318000   3359s |  60   117743   117595 |  34   127631   118435
   318500   3364s |  62   117715   117595 |  40   122043   118332
   319000   3368s |  62   117732   117595 |  48   119460   119133
   319500   3372s |  40   117731   117595 |  37   119584   118157
   320000   3377s |  54   117714   117595 |  31   124551   118697
   320500   3382s |  26   117693   117595 |  26   124390   118309
   321000   3387s |  35   117784   117595 |  25   119106   118890
   321500   3393s |  58   117793   117595 |  51   123818   118436
   322000   3398s |  26   117717   117595 |  50   122668   116652
   322500   3403s |  52   117717   117595 |  32   120772   117791
   323000   3408s |  41   117749   117595 |  51   123955   118734
   323500   3414s |  62   117731   117595 |  38   121869   117945
   324000   3419s |  58   117762   117595 |  50   120038   118492
   324500   3424s |  28   117704   117595 |  47   125248   118069
   325000   3429s |  49   117782   117595 |  34   129314   119069
   325500   3433s |  56   117810   117595 |  35   119740   119128
   326000   3438s |  45   117776   117595 |  54   118930   118303
   326500   3442s |  32   117774   117595 |  34   119040   118214
   327000   3446s |  43   117827   117595 |  31   119688   119422
   327500   3450s |  44   117706   117595 |  38   118516   118338
   328000   3456s |  60   117683   117595 |  30   121072   115699
   328500   3461s |  40   117801   117595 |  58   117965   117113
   329000   3466s |  53   117788   117595 |  53   125310   118149
   329500   3470s |  38   117806   117595 |  35   120741   118079
   330000   3474s |  46   117740   117595 |  35   122129   118708
   330500   3478s |  41   117700   117595 |  48   119229   118767
   331000   3485s |  40   117712   117595 |  57   127148   118364
   331500   3489s |  64   117783   117595 |  41   126161   118414
   332000   3494s |  64   117745   117595 |  49   123142   118240
   332500   3500s |  26   117766   117595 |  54   125812   117925
   333000   3504s |  55   117726   117595 |  33   125473   118683
   333500   3509s |  51   117757   117595 |  45   119223   118818
   334000   3514s |  29   117764   117595 |  34   119256   118527
